jenis_karantina;kode_upt;upt;upt_singkat; nilai_barang 
H;5100;Balai Besar Karantina Hewan, Ikan, dan Tumbuhan Bali;BBKHIT Bali; 28.422.334.058,00 
H;3100;Balai Besar Karantina Hewan, Ikan, dan Tumbuhan DKI Jakarta;BBKHIT DKI Jakarta; 3.469.619.022.302,12 
H;9100;Balai Besar Karantina Hewan, Ikan, dan Tumbuhan Papua;BBKHIT Papua; 909.520.800,00 
H;7300;Balai Besar Karantina Hewan, Ikan, dan Tumbuhan Sulawesi Selatan;BBKHIT Sulawesi Selatan; 172.450.000,00 
H;1200;Balai Besar Karantina Hewan, Ikan, dan Tumbuhan Sumatera Utara;BBKHIT Sumatera Utara; 2.775.787.150.424,00 
H;1100;Balai Karantina Hewan, Ikan, dan Tumbuhan Aceh;BKHIT Aceh; 100.000,00 
H;3600;Balai Karantina Hewan, Ikan, dan Tumbuhan Banten;BKHIT Banten; 7.412.489.044.503,02 
H;3400;Balai Karantina Hewan, Ikan, dan Tumbuhan Daerah Istimewa Yogyakarta;BKHIT Daerah Istimewa Yogyakarta; 42.030.197.531,00 
H;7500;Balai Karantina Hewan, Ikan, dan Tumbuhan Gorontalo;BKHIT Gorontalo; 750.000,00 
H;1500;Balai Karantina Hewan, Ikan, dan Tumbuhan Jambi;BKHIT Jambi; 52.850.000,00 
H;3200;Balai Karantina Hewan, Ikan, dan Tumbuhan Jawa Barat;BKHIT Jawa Barat; 88.824.856.907,00 
H;3300;Balai Karantina Hewan, Ikan, dan Tumbuhan Jawa Tengah;BKHIT Jawa Tengah; 3.085.268.062.637,91 
H;3500;Balai Karantina Hewan, Ikan, dan Tumbuhan Jawa Timur;BKHIT Jawa Timur; 3.422.468.509.818,65 
H;6100;Balai Karantina Hewan, Ikan, dan Tumbuhan Kalimantan Barat;BKHIT Kalimantan Barat; 1.906.890.000,00 
H;6300;Balai Karantina Hewan, Ikan, dan Tumbuhan Kalimantan Selatan;BKHIT Kalimantan Selatan; 35.479.500.000,00 
H;6200;Balai Karantina Hewan, Ikan, dan Tumbuhan Kalimantan Tengah;BKHIT Kalimantan Tengah; 745.834.518,00 
H;6500;Balai Karantina Hewan, Ikan, dan Tumbuhan Kalimantan Utara;BKHIT Kalimantan Utara; 1.305.865.850,00 
H;2100;Balai Karantina Hewan, Ikan, dan Tumbuhan Kepulauan Riau;BKHIT Kepulauan Riau; 542.637.585.958,00 
H;1800;Balai Karantina Hewan, Ikan, dan Tumbuhan Lampung;BKHIT Lampung; 219.250.000,00 
H;8100;Balai Karantina Hewan, Ikan, dan Tumbuhan Maluku;BKHIT Maluku; 100.000,00 
H;5200;Balai Karantina Hewan, Ikan, dan Tumbuhan Nusa Tenggara Barat;BKHIT Nusa Tenggara Barat; 437.220.000,00 
H;5300;Balai Karantina Hewan, Ikan, dan Tumbuhan Nusa Tenggara Timur;BKHIT Nusa Tenggara Timur; 20.952.061.231,00 
H;9300;Balai Karantina Hewan, Ikan, dan Tumbuhan Papua Selatan;BKHIT Papua Selatan; 6.097.800,00 
H;1400;Balai Karantina Hewan, Ikan, dan Tumbuhan Riau;BKHIT Riau; 5.066.636.600,00 
H;7600;Balai Karantina Hewan, Ikan, dan Tumbuhan Sulawesi Barat;BKHIT Sulawesi Barat; 21.000.000,00 
H;7200;Balai Karantina Hewan, Ikan, dan Tumbuhan Sulawesi Tengah;BKHIT Sulawesi Tengah; 86.020.000,00 
H;7100;Balai Karantina Hewan, Ikan, dan Tumbuhan Sulawesi Utara;BKHIT Sulawesi Utara; 45.210.000,00 
H;1300;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Barat;BKHIT Sumatera Barat; 7.050.000,00 
H;1600;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Selatan;BKHIT Sumatera Selatan; 359.815.000,00 
I;5100;Balai Besar Karantina Hewan, Ikan, dan Tumbuhan Bali;BBKHIT Bali; 5.171.029.990.666,06 
I;3100;Balai Besar Karantina Hewan, Ikan, dan Tumbuhan DKI Jakarta;BBKHIT DKI Jakarta; 23.481.704.595.445,60 
I;6400;Balai Besar Karantina Hewan, Ikan, dan Tumbuhan Kalimantan Timur;BBKHIT Kalimantan Timur; 546.727.793.205,50 
I;9100;Balai Besar Karantina Hewan, Ikan, dan Tumbuhan Papua;BBKHIT Papua; 9.638.505.908,00 
I;7300;Balai Besar Karantina Hewan, Ikan, dan Tumbuhan Sulawesi Selatan;BBKHIT Sulawesi Selatan; 8.740.046.250.221,68 
I;1200;Balai Besar Karantina Hewan, Ikan, dan Tumbuhan Sumatera Utara;BBKHIT Sumatera Utara; 7.061.922.526.562,57 
I;1100;Balai Karantina Hewan, Ikan, dan Tumbuhan Aceh;BKHIT Aceh; 11.189.832.129,00 
I;3600;Balai Karantina Hewan, Ikan, dan Tumbuhan Banten;BKHIT Banten; 10.283.987.456.830,70 
I;1700;Balai Karantina Hewan, Ikan, dan Tumbuhan Bengkulu;BKHIT Bengkulu; 588.793.230,00 
I;3400;Balai Karantina Hewan, Ikan, dan Tumbuhan Daerah Istimewa Yogyakarta;BKHIT Daerah Istimewa Yogyakarta; 86.179.193.820,49 
I;7500;Balai Karantina Hewan, Ikan, dan Tumbuhan Gorontalo;BKHIT Gorontalo; 135.798.072.324,20 
I;1500;Balai Karantina Hewan, Ikan, dan Tumbuhan Jambi;BKHIT Jambi; 9.087.500,00 
I;3200;Balai Karantina Hewan, Ikan, dan Tumbuhan Jawa Barat;BKHIT Jawa Barat; 1.398.460.475.337,60 
I;3300;Balai Karantina Hewan, Ikan, dan Tumbuhan Jawa Tengah;BKHIT Jawa Tengah; 4.564.295.732.552,66 
I;3500;Balai Karantina Hewan, Ikan, dan Tumbuhan Jawa Timur;BKHIT Jawa Timur; 34.475.810.986.782,40 
I;6100;Balai Karantina Hewan, Ikan, dan Tumbuhan Kalimantan Barat;BKHIT Kalimantan Barat; 292.052.834.169,84 
I;6300;Balai Karantina Hewan, Ikan, dan Tumbuhan Kalimantan Selatan;BKHIT Kalimantan Selatan; 147.643.155.311,41 
I;6200;Balai Karantina Hewan, Ikan, dan Tumbuhan Kalimantan Tengah;BKHIT Kalimantan Tengah; 1.322.977.836,00 
I;6500;Balai Karantina Hewan, Ikan, dan Tumbuhan Kalimantan Utara;BKHIT Kalimantan Utara; 1.124.185.295.482,33 
I;1900;Balai Karantina Hewan, Ikan, dan Tumbuhan Kepulauan Bangka Belitung;BKHIT Kepulauan Bangka Belitung; 539.140.125.205,83 
I;2100;Balai Karantina Hewan, Ikan, dan Tumbuhan Kepulauan Riau;BKHIT Kepulauan Riau; 966.470.043.716,58 
I;1800;Balai Karantina Hewan, Ikan, dan Tumbuhan Lampung;BKHIT Lampung; 1.493.477.674.669,13 
I;8100;Balai Karantina Hewan, Ikan, dan Tumbuhan Maluku;BKHIT Maluku; 849.706.640.982,65 
I;8200;Balai Karantina Hewan, Ikan, dan Tumbuhan Maluku Utara;BKHIT Maluku Utara; 351.903.428.892,99 
I;5200;Balai Karantina Hewan, Ikan, dan Tumbuhan Nusa Tenggara Barat;BKHIT Nusa Tenggara Barat; 282.140.393.163,60 
I;5300;Balai Karantina Hewan, Ikan, dan Tumbuhan Nusa Tenggara Timur;BKHIT Nusa Tenggara Timur; 54.958.660.076,95 
I;9600;Balai Karantina Hewan, Ikan, dan Tumbuhan Papua Barat Daya;BKHIT Papua Barat Daya; 205.531.720.451,80 
I;9300;Balai Karantina Hewan, Ikan, dan Tumbuhan Papua Selatan;BKHIT Papua Selatan; 2.380.074.000,00 
I;1400;Balai Karantina Hewan, Ikan, dan Tumbuhan Riau;BKHIT Riau; 216.657.510.550,00 
I;7600;Balai Karantina Hewan, Ikan, dan Tumbuhan Sulawesi Barat;BKHIT Sulawesi Barat; 2.561.695.000,00 
I;7200;Balai Karantina Hewan, Ikan, dan Tumbuhan Sulawesi Tengah;BKHIT Sulawesi Tengah; 43.114.382.529,85 
I;7400;Balai Karantina Hewan, Ikan, dan Tumbuhan Sulawesi Tenggara;BKHIT Sulawesi Tenggara; 211.875.593.405,84 
I;7100;Balai Karantina Hewan, Ikan, dan Tumbuhan Sulawesi Utara;BKHIT Sulawesi Utara; 2.769.223.262.758,05 
I;1300;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Barat;BKHIT Sumatera Barat; 36.156.782.243,46 
I;1600;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Selatan;BKHIT Sumatera Selatan; 87.053.592.277,20 
T;5100;Balai Besar Karantina Hewan, Ikan, dan Tumbuhan Bali;BBKHIT Bali;125.921.180.280,00
T;3100;Balai Besar Karantina Hewan, Ikan, dan Tumbuhan DKI Jakarta;BBKHIT DKI Jakarta;17.232.109.883.006,10
T;6400;Balai Besar Karantina Hewan, Ikan, dan Tumbuhan Kalimantan Timur;BBKHIT Kalimantan Timur;20.162.742.890.479,80
T;9100;Balai Besar Karantina Hewan, Ikan, dan Tumbuhan Papua;BBKHIT Papua;5.853.043.644,60
T;9500;Balai Karantina Hewan, Ikan, dan Tumbuhan Papua Pegunungan;BKHIT Papua Pegunungan;2.225.000,00
T;7300;Balai Besar Karantina Hewan, Ikan, dan Tumbuhan Sulawesi Selatan;BBKHIT Sulawesi Selatan;6.069.698.552.753,53
T;1200;Balai Besar Karantina Hewan, Ikan, dan Tumbuhan Sumatera Utara;BBKHIT Sumatera Utara;33.740.497.156.338,80
T;1100;Balai Karantina Hewan, Ikan, dan Tumbuhan Aceh;BKHIT Aceh;217.363.896.361,00
T;3600;Balai Karantina Hewan, Ikan, dan Tumbuhan Banten;BKHIT Banten;2.330.168.455.471,34
T;1700;Balai Karantina Hewan, Ikan, dan Tumbuhan Bengkulu;BKHIT Bengkulu;17.374.943.009,23
T;3400;Balai Karantina Hewan, Ikan, dan Tumbuhan Daerah Istimewa Yogyakarta;BKHIT Daerah Istimewa Yogyakarta;385.474.350.328,00
T;7500;Balai Karantina Hewan, Ikan, dan Tumbuhan Gorontalo;BKHIT Gorontalo;892.945.918.902,00
T;1500;Balai Karantina Hewan, Ikan, dan Tumbuhan Jambi;BKHIT Jambi;3.932.585.035.652,00
T;3200;Balai Karantina Hewan, Ikan, dan Tumbuhan Jawa Barat;BKHIT Jawa Barat;11.127.623.389.716,00
T;3300;Balai Karantina Hewan, Ikan, dan Tumbuhan Jawa Tengah;BKHIT Jawa Tengah;11.814.869.088.501,80
T;3500;Balai Karantina Hewan, Ikan, dan Tumbuhan Jawa Timur;BKHIT Jawa Timur;70.527.989.200.948,60
T;6100;Balai Karantina Hewan, Ikan, dan Tumbuhan Kalimantan Barat;BKHIT Kalimantan Barat;3.992.846.475.003,61
T;6300;Balai Karantina Hewan, Ikan, dan Tumbuhan Kalimantan Selatan;BKHIT Kalimantan Selatan;5.874.391.168.964,50
T;6200;Balai Karantina Hewan, Ikan, dan Tumbuhan Kalimantan Tengah;BKHIT Kalimantan Tengah;4.047.958.214.608,90
T;6500;Balai Karantina Hewan, Ikan, dan Tumbuhan Kalimantan Utara;BKHIT Kalimantan Utara;46.780.036.259,00
T;1900;Balai Karantina Hewan, Ikan, dan Tumbuhan Kepulauan Bangka Belitung;BKHIT Kepulauan Bangka Belitung;1.035.317.460.299,02
T;2100;Balai Karantina Hewan, Ikan, dan Tumbuhan Kepulauan Riau;BKHIT Kepulauan Riau;8.059.701.608.318,00
T;1800;Balai Karantina Hewan, Ikan, dan Tumbuhan Lampung;BKHIT Lampung;21.308.571.058.109,30
T;8100;Balai Karantina Hewan, Ikan, dan Tumbuhan Maluku;BKHIT Maluku;151.249.224,00
T;8200;Balai Karantina Hewan, Ikan, dan Tumbuhan Maluku Utara;BKHIT Maluku Utara;23.806.377.803,00
T;5200;Balai Karantina Hewan, Ikan, dan Tumbuhan Nusa Tenggara Barat;BKHIT Nusa Tenggara Barat;6.383.192.115,00
T;5300;Balai Karantina Hewan, Ikan, dan Tumbuhan Nusa Tenggara Timur;BKHIT Nusa Tenggara Timur;39.558.933.914,00
T;9200;Balai Karantina Hewan, Ikan, dan Tumbuhan Papua Barat;BKHIT Papua Barat;20.150.000,00
T;9300;Balai Karantina Hewan, Ikan, dan Tumbuhan Papua Selatan;BKHIT Papua Selatan;1.623.845.580,00
T;1400;Balai Karantina Hewan, Ikan, dan Tumbuhan Riau;BKHIT Riau;27.806.780.003.042,00
T;7600;Balai Karantina Hewan, Ikan, dan Tumbuhan Sulawesi Barat;BKHIT Sulawesi Barat;3.026.621.917.524,00
T;7200;Balai Karantina Hewan, Ikan, dan Tumbuhan Sulawesi Tengah;BKHIT Sulawesi Tengah;512.478.951.531,00
T;7400;Balai Karantina Hewan, Ikan, dan Tumbuhan Sulawesi Tenggara;BKHIT Sulawesi Tenggara;42.546.687.802,00
T;7100;Balai Karantina Hewan, Ikan, dan Tumbuhan Sulawesi Utara;BKHIT Sulawesi Utara;4.403.674.725.500,75
T;1300;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Barat;BKHIT Sumatera Barat;4.138.494.249.014,00
T;1600;Balai Karantina Hewan, Ikan, dan Tumbuhan Sumatera Selatan;BKHIT Sumatera Selatan;6.595.815.798.291,00
