no;kode_upt;tahun;upt;target upt
1;1200;2026;BALAI BESAR KARANTINA HEWAN, IKAN, DAN TUMBUHAN SUMATERA UTARA;28.733.000.000
2;3100;2026;BALAI BESAR KARANTINA HEWAN, IKAN, DAN TUMBUHAN DKI JAKARTA;100.654.800.000
3;6400;2026;BALAI BESAR KARANTINA HEWAN, IKAN, DAN TUMBUHAN KALIMANTAN TIMUR;7.223.400.000
4;5100;2026;BALAI BESAR KARANTINA HEWAN, IKAN, DAN TUMBUHAN BALI;4.665.000.000
5;7300;2026;BALAI BESAR KARANTINA HEWAN, IKAN, DAN TUMBUHAN SULAWESI SELATAN;8.307.000.000
6;9100;2026;BALAI BESAR KARANTINA HEWAN, IKAN, DAN TUMBUHAN PAPUA;1.723.000.000
7;1100;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN ACEH;297.600.000
8;2100;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN KEPULAUAN RIAU;4.017.000.000
9;1300;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN SUMATERA BARAT;1.064.100.000
10;1400;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN RIAU;12.351.500.000
11;1500;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN JAMBI;3.694.700.000
12;1700;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN BENGKULU;267.600.000
13;1900;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN KEPULAUAN BANGKA BELITUNG;1.410.200.000
14;1600;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN SUMATERA SELATAN;4.039.000.000
15;1800;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN LAMPUNG;19.314.500.000
16;3600;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN BANTEN;36.821.500.000
17;3200;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN JAWA BARAT;5.137.900.000
18;3300;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN JAWA TENGAH;17.635.900.000
19;3400;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN DAERAH ISTIMEWA YOGYAKARTA;1.694.300.000
20;3500;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN JAWA TIMUR;82.617.000.000
21;5200;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN NUSA TENGGARA BARAT;1.670.700.000
22;5300;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN NUSA TENGGARA TIMUR;3.327.800.000
23;6100;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN KALIMANTAN BARAT;5.560.200.000
24;6300;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN KALIMANTAN SELATAN;2.261.700.000
25;6200;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN KALIMANTAN TENGAH;2.895.500.000
26;6500;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN KALIMANTAN UTARA;865.100.000
27;7400;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN SULAWESI TENGGARA;632.400.000
28;7200;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN SULAWESI TENGAH;2.419.900.000
29;7600;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN SULAWESI BARAT;980.100.000
30;7100;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN SULAWESI UTARA;1.847.800.000
31;7500;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN GORONTALO;1.139.600.000
32;8200;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN MALUKU UTARA;547.300.000
33;8100;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN MALUKU;433.300.000
34;9200;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN PAPUA BARAT;120.000.000
35;9600;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN PAPUA BARAT DAYA;296.400.000
36;9400;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN PAPUA TENGAH;461.100.000
37;9500;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN PAPUA PEGUNUNGAN;27.000.000
38;9300;2026;BALAI KARANTINA HEWAN, IKAN, DAN TUMBUHAN PAPUA SELATAN;2.215.100.000
