kode;Provinsi;Negara;gabung
1100;Aceh;Indonesia;Aceh, Indonesia
1200;Sumatera Utara;Indonesia;Sumatera Utara, Indonesia
1300;Sumatera Barat;Indonesia;Sumatera Barat, Indonesia
1400;Riau;Indonesia;Riau, Indonesia
1500;Jambi;Indonesia;Jambi, Indonesia
1600;Sumatera Selatan;Indonesia;Sumatera Selatan, Indonesia
1700;Bengkulu;Indonesia;Provinsi Bengkulu, Indonesia
1800;Lampung;Indonesia;Lampung, Indonesia
1900;Kepulauan Bangka Belitung;Indonesia;Kepulauan Bangka Belitung, Indonesia
2100;Kepulauan Riau;Indonesia;Kepulauan Riau, Indonesia
3100;DKI Jakarta;Indonesia;DKI Jakarta, Indonesia
3200;Jawa Barat;Indonesia;Jawa Barat, Indonesia
3300;Jawa Tengah;Indonesia;Jawa Tengah, Indonesia
3400;Daerah Istimewa Yogyakarta;Indonesia;Daerah Istimewa Yogyakarta, Indonesia
3500;Jawa Timur;Indonesia;Jawa Timur, Indonesia
3600;Banten;Indonesia;Banten, Indonesia
5100;Bali;Indonesia;Bali, Indonesia
5200;Nusa Tenggara Barat;Indonesia;Nusa Tenggara Barat, Indonesia
5300;Nusa Tenggara Timur;Indonesia;Nusa Tenggara Timur, Indonesia
6100;Kalimantan Barat;Indonesia;Kalimantan Barat, Indonesia
6200;Kalimantan Tengah;Indonesia;Kalimantan Tengah, Indonesia
6300;Kalimantan Selatan;Indonesia;Kalimantan Selatan, Indonesia
6400;Kalimantan Timur;Indonesia;Kalimantan Timur, Indonesia
6500;Kalimantan Utara;Indonesia;Kalimantan Utara, Indonesia
7100;Sulawesi Utara;Indonesia;Sulawesi Utara, Indonesia
7200;Sulawesi Tengah;Indonesia;Sulawesi Tengah, Indonesia
7300;Sulawesi Selatan;Indonesia;Sulawesi Selatan, Indonesia
7400;Sulawesi Tenggara;Indonesia;Sulawesi Tenggara, Indonesia
7500;Gorontalo;Indonesia;Gorontalo, Indonesia
7600;Sulawesi Barat;Indonesia;Sulawesi Barat, Indonesia
8100;Maluku;Indonesia;Maluku, Indonesia
8200;Maluku Utara;Indonesia;Maluku Utara, Indonesia
9100;Papua;Indonesia;Papua, Indonesia
9200;Papua Barat;Indonesia;Papua Barat, Indonesia
9300;Papua Selatan;Indonesia;Papua Selatan, Indonesia
9400;Papua Tengah;Indonesia;Papua Tengah, Indonesia
9500;Papua Pegunungan;Indonesia;Papua Pegunungan, Indonesia
9600;Papua Barat Daya;Indonesia;Papua Barat Daya, Indonesia

