kode,nama_upt
1100,BKHIT Aceh
1200,BBKHIT Sumatera Utara
1300,BKHIT Sumatera Barat
1400,BKHIT Riau
1500,BKHIT Jambi
1600,BKHIT Sumatera Selatan
1700,BKHIT Bengkulu
1800,BKHIT Lampung
1900,BKHIT Bangka Belitung
2100,BKHIT Kep. Riau
3100,BBKHIT DKI Jakarta
3200,BKHIT Jawa Barat
3300,BKHIT Jawa Tengah
3400,BKHIT DIY.
3500,BKHIT Jawa Timur
3600,BKHIT Banten
5100,BBKHIT Bali
5200,BKHIT NTB
5300,BKHIT NTT
6100,BKHIT Kalimantan Barat
6200,BKHIT Kalimantan Tengah
6300,BKHIT Kalimantan Selatan
6400,BBKHIT Kalimantan Timur
6500,BKHIT Kalimantan Utara
7100,BKHIT Sulawesi Utara
7200,BKHIT Sulawesi Tengah
7300,BBKHIT Sulawesi Selatan
7400,BKHIT Sulawesi Tenggara
7500,BKHIT Gorontalo
7600,BKHIT Sulawesi Barat
8100,BKHIT Maluku
8200,BKHIT Maluku Utara
9100,BBKHIT Papua
9200,BKHIT Papua Barat
9300,BKHIT Papua Selatan
9400,BKHIT Papua Tengah
9500,BKHIT Papua Pegunungan
9600,BKHIT Papua Barat Daya
